branch_name,protected,head_sha
feature-rate-limiting,yes,563ab26819736cd57687f42caf5ad7d1d60230b8
feature-serverside-apply,yes,afc81f4145987fdf63d9f5bb17e74736ec331cc1
feature-workload-ga,yes,b80b7b08c953ec8e4dcad5e86474126703d3afca
master,yes,9f6977db54084d766c1fec19f383bf509d7e8610
release-0.10,yes,6925024e98bcb0bc8d00d78d6796a04840a4fe5f
release-0.12,yes,de5dbdc3893078cda36a3ad6ec69e6037104cb07
release-0.13,yes,28efb1d8e24a53f96b0784dfb25a6739d0d09d05
release-0.14,yes,f5582e8b99a11f9f15cc83bff8bf276270e15e80
release-0.15,yes,efdd58b737dcfd74254d2cd49aa14ed04a93c755
release-0.16,yes,7932ef58eedc28160d496a0b846f94d58e7f7206
release-0.17,yes,4c118f66b49002493cc0245c0feff6efb22f9c5e
release-0.18,yes,5920e2764a44e435771363bd18720742e18386c9
release-0.19,yes,48726482b81379124acbf2831522d27619485980
release-0.20,yes,e200feca156b17907d76f45e8473bbaac892c4a8
release-0.21,yes,49e70bc91b4bc2ae744e7ac43bd31f2c5983df9b
release-0.4,yes,b766960348daba51ea47a428175148b16c7a0bb3
release-0.5,yes,dfb235c60c787f749367f5e2f6654ee1c543d4ac
release-0.6,yes,1263b9665ffbfc09e4b4fc78ea351ae3b55ae0d2
release-0.7,yes,4d8363cf4997747d34937d13f5d314adb3f8a05a
release-0.8,yes,7e134cb73dfe05bc2ada465886cfc7fdc1e4ac8e
release-0.9,yes,b314b648fdd0418c005b77ab4eef8dd4937dcfca
release-1.0,yes,b9a9d98dd99552f788c4d806941f4b491f4b4195
release-1.1,yes,aec7b416eb82c5a4c43ac786f02539a5669a1897
release-1.10,yes,f170ef66340f6355d331ed90902574ff0532a20a
release-1.11,yes,9016740a6ffe91bb29824f80c34087b993903bd6
release-1.12,yes,5f799a487b70aea5e298e5f5f1e3bac904b54ef6
release-1.13,yes,874f0559d9b358f87959ec0bb7645d9cb3d5f7ba
release-1.14,yes,c8b135d0b49c44554ed5b78878f15f09cab350b6
release-1.15,yes,a34f1e483104bd51c3e9a6aec3dbbcf6301789da
release-1.16,yes,18936c8b181de5701fba4f0b958317f9dbdab0a1
release-1.17,yes,1d9e1e6d56cbd5c9d04ba25cccf184a973056a79
release-1.18,yes,0f3e6609388defe7d0149216cb0409531f8d33b3
release-1.19,yes,8dd52e6c5dcd8068ee1080a4b7dcabd0a140a5ee
release-1.2,yes,3d5d1aa6864495153b4bac9608f74f8b76182635
release-1.20,yes,4a89df5617b8e1e26abb16150502d04e6c180533
release-1.21,yes,2fef630dd216ddefd051ef5a2dda3fe1fdf7439a
release-1.22,yes,bc4763cbf8b9e6adfbc07bb3194509b187b0b901
release-1.23,yes,1635c380b26a1d8cc25d36e9feace9797f4bae3c
release-1.24,yes,2cb31c9333adca3f212920d7a1a4e0a3a239598d
release-1.25,yes,88e994f6bf8fc88114c5b733e09afea339bea66d
release-1.26,yes,840d9bfe2ee5a9ca6d54435c598c2dc563f9cb70
release-1.27,yes,f5da3b717fc2177b05b9cd23a0e2711d42f74cad
release-1.28,yes,9d9e08b3179aa8df23909b495c2001b8cccf494a
release-1.29,yes,4c1e535e39abf2acba78ac3408ab5eed77364e68
release-1.3,yes,587d164307de060d271f10f2386f39153360fba9
release-1.30,yes,e2e64ef58da04369882d6187fc6612d1d090d133
release-1.31,yes,fa33e07f6a06aad917510bc95ff09f88b927a211
release-1.32,yes,b2d2ea66edc6f3750c403589deb1f64001709b47
release-1.33,yes,0c729828dff858d3ab0cca5ce7f2ab64ec2c297b
release-1.34,yes,31a3b4eb53c1ddf523e316c7d861b709fd6b86a1
release-1.35,yes,464f1dfb2db153bb82b0c8472336eaf46cc5db9d
release-1.4,yes,ae85e0be59bfaaaf73ba7dd7a997833edab3cd2c
release-1.5,yes,f35802d3a00b37a32476451266af05ce9760fec0
release-1.6,yes,4fd45574758f6f5b430a77015ed9f1cc16ed1412
release-1.6.3,yes,d6f433224538d4f9ca2f7ae19b252e6fcb66a3ae
release-1.7,yes,347f652944cc2348d59b1c815007e21e062fe597
release-1.8,yes,a654bda3de8174c0a27b098c6f768ee8f47ffbe6
release-1.9,yes,b5ec061c7ab9995a801206ea74f614ced04206d2
revert-121614-decode-respect-timeout-context,no,98a2f22e740ccd2c30711f1b21d6383f1b91595e
