time_granularity,time_key,commit_count
day,2024-01-03,1
day,2025-10-17,1
day,2025-10-18,2
day,2025-11-07,1
day,2025-11-19,1
day,2025-11-20,1
day,2025-11-24,1
day,2025-11-27,1
day,2025-12-02,1
day,2025-12-03,1
day,2025-12-05,2
day,2025-12-08,5
day,2025-12-09,1
day,2025-12-10,6
day,2025-12-11,1
day,2025-12-16,2
day,2025-12-17,1
day,2025-12-19,1
day,2025-12-22,2
day,2025-12-23,1
day,2025-12-25,1
day,2025-12-26,1
day,2025-12-27,1
day,2025-12-29,1
day,2025-12-30,1
day,2026-01-01,5
day,2026-01-02,1
day,2026-01-04,1
day,2026-01-05,4
day,2026-01-06,18
day,2026-01-07,29
day,2026-01-08,31
day,2026-01-09,23
day,2026-01-10,5
day,2026-01-11,2
day,2026-01-12,17
day,2026-01-13,5
week,2024-W1,1
week,2025-W1,2
week,2025-W42,3
week,2025-W45,1
week,2025-W47,2
week,2025-W48,2
week,2025-W49,4
week,2025-W50,13
week,2025-W51,4
week,2025-W52,6
week,2026-W1,7
week,2026-W2,112
week,2026-W3,22
month,2024-01,1
month,2025-10,3
month,2025-11,5
month,2025-12,29
month,2026-01,141
